source_hub,destination_hub
Delhi,Agra
Delhi,Jaipur
Delhi,Haridwar
Delhi,Rishikesh
Delhi,Mathura
Delhi,Vrindavan
Delhi,Chandigarh
Delhi,Shimla
Delhi,Manali
Delhi,Amritsar
Delhi,Lucknow
Delhi,Varanasi
Delhi,Nainital
Delhi,Mussoorie
Delhi,Dharamshala
Delhi,Jodhpur
Delhi,Udaipur
Delhi,Corbett
Mumbai,Lonavala
Mumbai,Mahabaleshwar
Mumbai,Alibaug
Mumbai,Matheran
Mumbai,Pune
Mumbai,Nashik
Mumbai,Shirdi
Mumbai,Aurangabad
Mumbai,Kolhapur
Mumbai,Ratnagiri
Mumbai,Ganapatipule
Mumbai,Goa
Bengaluru,Mysore
Bengaluru,Coorg
Bengaluru,Chikmagalur
Bengaluru,Hampi
Bengaluru,Kabini
Bengaluru,Bandipur
Bengaluru,Ooty
Bengaluru,Wayanad
Bengaluru,Pondicherry
Bengaluru,Chennai
Bengaluru,Sakleshpur
Bengaluru,Hassan
Chennai,Mahabalipuram
Chennai,Pondicherry
Chennai,Kanchipuram
Chennai,Tirupati
Chennai,Vellore
Chennai,Kanyakumari
Chennai,Madurai
Chennai,Rameswaram
Chennai,Yercaud
Chennai,Kodaikanal
Kolkata,Darjeeling
Kolkata,Gangtok
Kolkata,Kalimpong
Kolkata,Digha
Kolkata,Mandarmani
Kolkata,Shantiniketan
Kolkata,Sundarbans
Kolkata,Puri
Kolkata,Bhubaneswar
Kolkata,Siliguri
Hyderabad,Warangal
Hyderabad,Nagarkurnool
Hyderabad,Bidar
Hyderabad,Gulbarga
Hyderabad,Vijayawada
Hyderabad,Tirupati
Ahmedabad,Vadodara
Ahmedabad,Surat
Ahmedabad,Rajkot
Ahmedabad,Bhavnagar
Ahmedabad,Dwarka
Ahmedabad,Somnath
Ahmedabad,Bhuj
Ahmedabad,Mount Abu
Ahmedabad,Udaipur
Pune,Mumbai
Pune,Lonavala
Pune,Mahabaleshwar
Pune,Nashik
Pune,Shirdi
Pune,Aurangabad
Pune,Kolhapur
Pune,Ratnagiri
Pune,Ganapatipule
Jaipur,Delhi
Jaipur,Agra
Jaipur,Ajmer
Jaipur,Pushkar
Jaipur,Ranthambore
Jaipur,Bundi
Jaipur,Kota
Jaipur,Jodhpur
Jaipur,Udaipur
Jaipur,Bikaner
Jaipur,Alwar
Udaipur,Jaipur
Udaipur,Jodhpur
Udaipur,Chittorgarh
Udaipur,Mount Abu
Udaipur,Pushkar
Jodhpur,Jaipur
Jodhpur,Udaipur
Jodhpur,Jaisalmer
Jodhpur,Bikaner
Jaisalmer,Jodhpur
Jaisalmer,Bikaner
Bikaner,Jaipur
Bikaner,Jodhpur
Bikaner,Jaisalmer
Amritsar,Delhi
Amritsar,Chandigarh
Amritsar,Jalandhar
Amritsar,Pathankot
Amritsar,Dharamshala
Amritsar,Dalhousie
Amritsar,Katra
Chandigarh,Delhi
Chandigarh,Shimla
Chandigarh,Manali
Chandigarh,Dharamshala
Chandigarh,Dalhousie
Chandigarh,Amritsar
Chandigarh,Kasauli
Lucknow,Delhi
Lucknow,Agra
Lucknow,Varanasi
Lucknow,Ayodhya
Lucknow,Allahabad
Lucknow,Kanpur
Lucknow,Chitrakoot
Varanasi,Lucknow
Varanasi,Allahabad
Varanasi,Ayodhya
Varanasi,Gaya
Varanasi,Bodh Gaya
Varanasi,Sarnath
Agra,Delhi
Agra,Jaipur
Agra,Mathura
Agra,Vrindavan
Agra,Gwalior
Agra,Lucknow
Agra,Fatehpur Sikri
Khajuraho,Orchha
Khajuraho,Jhansi
Khajuraho,Satna
Khajuraho,Panna
Khajuraho,Chitrakoot
Gwalior,Agra
Gwalior,Jhansi
Gwalior,Orchha
Gwalior,Delhi
Gwalior,Shivpuri
Bhopal,Indore
Bhopal,Sanchi
Bhopal,Ujjain
Bhopal,Pachmarhi
Bhopal,Bhimbetka
Indore,Bhopal
Indore,Ujjain
Indore,Maheshwar
Indore,Omkareshwar
Indore,Mandu
Aurangabad,Mumbai
Aurangabad,Pune
Aurangabad,Nashik
Aurangabad,Shirdi
Nashik,Mumbai
Nashik,Pune
Nashik,Shirdi
Nashik,Aurangabad
Shirdi,Nashik
Shirdi,Pune
Shirdi,Mumbai
Shirdi,Aurangabad
Kolhapur,Mumbai
Kolhapur,Pune
Kolhapur,Mahabaleshwar
Kolhapur,Goa
Kolhapur,Ratnagiri
Goa,Mumbai
Goa,Kolhapur
Goa,Gokarna
Goa,Hampi
Goa,Badami
Goa,Karwar
Mysore,Bengaluru
Mysore,Coorg
Mysore,Ooty
Mysore,Kabini
Mysore,Bandipur
Mysore,Srirangapatna
Coorg,Mysore
Coorg,Bengaluru
Coorg,Wayanad
Coorg,Kabini
Coorg,Madikeri
Hampi,Bengaluru
Hampi,Goa
Hampi,Badami
Hampi,Hospet
Badami,Hampi
Badami,Aihole
Badami,Pattadakal
Badami,Bijapur
Badami,Gokarna
Gokarna,Goa
Gokarna,Karwar
Gokarna,Murudeshwar
Gokarna,Badami
Gokarna,Hampi
Kochi,Munnar
Kochi,Alleppey
Kochi,Kumarakom
Kochi,Thekkady
Kochi,Varkala
Kochi,Trivandrum
Kochi,Kozhikode
Kochi,Wayanad
Trivandrum,Kochi
Trivandrum,Varkala
Trivandrum,Kanyakumari
Trivandrum,Kovalam
Trivandrum,Ponmudi
Madurai,Chennai
Madurai,Kodaikanal
Madurai,Rameswaram
Madurai,Kanyakumari
Madurai,Thekkady
Ooty,Mysore
Ooty,Coimbatore
Ooty,Wayanad
Ooty,Kodaikanal
Ooty,Bandipur
Ooty,Coonoor
Kodaikanal,Madurai
Kodaikanal,Munnar
Kodaikanal,Ooty
Kodaikanal,Coimbatore
Kodaikanal,Palani
Pondicherry,Chennai
Pondicherry,Mahabalipuram
Pondicherry,Kanchipuram
Pondicherry,Tiruvannamalai
Pondicherry,Chidambaram
Rameswaram,Madurai
Rameswaram,Kanyakumari
Kanyakumari,Trivandrum
Kanyakumari,Madurai
Kanyakumari,Rameswaram
Kanyakumari,Kovalam
Darjeeling,Kolkata
Darjeeling,Siliguri
Darjeeling,Gangtok
Darjeeling,Kalimpong
Darjeeling,Pelling
Gangtok,Darjeeling
Gangtok,Kalimpong
Gangtok,Pelling
Gangtok,Lachen
Gangtok,Lachung
Gangtok,Ravangla
Gangtok,Namchi
Shillong,Guwahati
Shillong,Cherrapunji
Shillong,Kaziranga
Guwahati,Shillong
Guwahati,Kaziranga
Guwahati,Manas
Guwahati,Tezpur
Guwahati,Jorhat
Guwahati,Tawang
Kaziranga,Guwahati
Kaziranga,Jorhat
Kaziranga,Tezpur
Kaziranga,Shillong
Jorhat,Kaziranga
Jorhat,Majuli
Jorhat,Sibsagar
Jorhat,Golaghat
Puri,Bhubaneswar
Puri,Gopalpur
Bhubaneswar,Puri
Bhubaneswar,Cuttack
Bhubaneswar,Gopalpur
Srinagar,Gulmarg
Srinagar,Pahalgam
Srinagar,Sonamarg
Srinagar,Kargil
Srinagar,Leh
Srinagar,Jammu
Leh,Srinagar
Leh,Kargil
Jammu,Srinagar
Jammu,Katra
Jammu,Patnitop
Jammu,Amritsar
Manali,Chandigarh
Manali,Shimla
Manali,Dharamshala
Manali,Kasol
Manali,Jibhi
Manali,Kaza
Manali,Leh
Shimla,Chandigarh
Shimla,Manali
Shimla,Dharamshala
Shimla,Kasauli
Dharamshala,Chandigarh
Dharamshala,Manali
Dharamshala,Dalhousie
Dharamshala,McLeod Ganj
Dharamshala,Palampur
Dharamshala,Bir
Dalhousie,Chandigarh
Dalhousie,Dharamshala
Dalhousie,Manali
Dalhousie,Pathankot
Kasol,Manali
Kasol,Jibhi
Kasol,Kullu
Kasol,Dharamshala
Jibhi,Kasol
Jibhi,Manali
Jibhi,Kullu
Tosh,Kasol
Tosh,Jibhi
Tosh,Kullu
Kaza,Manali
Kaza,Kalpa
Kalpa,Kaza
Kalpa,Sangla
Kalpa,Chitkul
Sangla,Kalpa
Sangla,Chitkul
McLeod Ganj,Dharamshala
McLeod Ganj,Palampur
McLeod Ganj,Bir
Palampur,Dharamshala
Palampur,McLeod Ganj
Palampur,Bir
Bir,Dharamshala
Bir,Palampur
Bir,McLeod Ganj
Khajjiar,Dalhousie
Chamba,Dalhousie
Haridwar,Delhi
Haridwar,Rishikesh
Haridwar,Dehradun
Haridwar,Mussoorie
Rishikesh,Delhi
Rishikesh,Haridwar
Rishikesh,Dehradun
Rishikesh,Mussoorie
Rishikesh,Joshimath
Rishikesh,Auli
Rishikesh,Badrinath
Dehradun,Haridwar
Dehradun,Rishikesh
Dehradun,Mussoorie
Dehradun,Nainital
Mussoorie,Dehradun
Mussoorie,Haridwar
Mussoorie,Rishikesh
Mussoorie,Dhanaulti
Nainital,Dehradun
Nainital,Ranikhet
Nainital,Almora
Nainital,Kausani
Nainital,Corbett
Ranikhet,Nainital
Ranikhet,Almora
Ranikhet,Kausani
Ranikhet,Corbett
Almora,Nainital
Almora,Ranikhet
Almora,Kausani
Almora,Binsar
Kausani,Nainital
Kausani,Almora
Kausani,Ranikhet
Kausani,Bageshwar
Binsar,Almora
Binsar,Kausani
Binsar,Ranikhet
Corbett,Nainital
Corbett,Ramnagar
Corbett,Ranikhet
Corbett,Moradabad
Ramnagar,Corbett
Ramnagar,Nainital
Ramnagar,Moradabad
Joshimath,Rishikesh
Joshimath,Auli
Joshimath,Badrinath
Joshimath,Govindghat
Auli,Joshimath
Auli,Rishikesh
Badrinath,Joshimath
Badrinath,Govindghat
Badrinath,Rishikesh
Govindghat,Joshimath
Govindghat,Badrinath
Chopta,Joshimath
Chopta,Rishikesh
Chopta,Ukhimath
Chopta,Gopeshwar
Chopta,Rudraprayag
Ukhimath,Rudraprayag
Ukhimath,Gopeshwar
Ukhimath,Guptkashi
Guptkashi,Rudraprayag
Guptkashi,Ukhimath
Guptkashi,Kedarnath
Gaurikund,Guptkashi
Gaurikund,Rudraprayag
Gaurikund,Kedarnath
Sonprayag,Guptkashi
Sonprayag,Rudraprayag
Sonprayag,Kedarnath
Ghangaria,Govindghat
Ghangaria,Joshimath
Bageshwar,Kausani
Bageshwar,Almora
Dhanaulti,Mussoorie
Dhanaulti,Dehradun
Dhanaulti,Rishikesh
Kanatal,Mussoorie
Kanatal,Dhanaulti
Kanatal,Rishikesh
Kanatal,Dehradun
Chaukori,Kausani
Chaukori,Almora
Chaukori,Bageshwar
Chaukori,Pithoragarh
Munsiyari,Pithoragarh
Munsiyari,Almora
Munsiyari,Kausani
Pushkar,Jaipur
Pushkar,Ajmer
Pushkar,Udaipur
Pushkar,Jodhpur
Ajmer,Jaipur
Ajmer,Pushkar
Ajmer,Udaipur
Ajmer,Jodhpur
Bundi,Jaipur
Bundi,Kota
Bundi,Ranthambore
Bundi,Chittorgarh
Kota,Jaipur
Kota,Bundi
Kota,Ranthambore
Kota,Chittorgarh
Chittorgarh,Udaipur
Chittorgarh,Bundi
Chittorgarh,Kota
Chittorgarh,Jaipur
Kumbhalgarh,Udaipur
Kumbhalgarh,Ranakpur
Kumbhalgarh,Jodhpur
Ranakpur,Udaipur
Ranakpur,Kumbhalgarh
Ranakpur,Jodhpur
Mount Abu,Udaipur
Mount Abu,Jodhpur
Mount Abu,Ahmedabad
Khuri,Jaisalmer
Khuri,Jodhpur
Sam,Jaisalmer
Sam,Khuri
Sariska,Jaipur
Sariska,Delhi
Sariska,Alwar
Alwar,Jaipur
Alwar,Sariska
Alwar,Delhi
Orchha,Khajuraho
Orchha,Jhansi
Orchha,Gwalior
Jhansi,Orchha
Jhansi,Khajuraho
Jhansi,Gwalior
Jhansi,Agra
Pachmarhi,Bhopal
Pachmarhi,Chhindwara
Pachmarhi,Jabalpur
Pachmarhi,Pipariya
Sanchi,Bhopal
Sanchi,Vidisha
Sanchi,Indore
Ujjain,Indore
Ujjain,Bhopal
Ujjain,Omkareshwar
Maheshwar,Indore
Maheshwar,Mandu
Maheshwar,Omkareshwar
Maheshwar,Dhar
Mandu,Indore
Mandu,Maheshwar
Mandu,Dhar
Omkareshwar,Indore
Omkareshwar,Ujjain
Omkareshwar,Maheshwar
Panna,Khajuraho
Panna,Satna
Panna,Chitrakoot
Lonavala,Mumbai
Lonavala,Pune
Mahabaleshwar,Pune
Mahabaleshwar,Mumbai
Mahabaleshwar,Kolhapur
Mahabaleshwar,Satara
Panchgani,Mahabaleshwar
Panchgani,Pune
Matheran,Mumbai
Matheran,Pune
Alibaug,Mumbai
Alibaug,Pune
Alibaug,Murud
Kashid,Alibaug
Kashid,Mumbai
Kashid,Murud
Murud,Alibaug
Murud,Kashid
Murud,Mumbai
Ratnagiri,Mumbai
Ratnagiri,Kolhapur
Ratnagiri,Ganapatipule
Ratnagiri,Guhagar
Ganapatipule,Ratnagiri
Ganapatipule,Kolhapur
Ganapatipule,Mumbai
Guhagar,Ratnagiri
Guhagar,Mumbai
Guhagar,Ganapatipule
Chikmagalur,Bengaluru
Chikmagalur,Mysore
Chikmagalur,Hassan
Chikmagalur,Sakleshpur
Sakleshpur,Chikmagalur
Sakleshpur,Hassan
Sakleshpur,Bengaluru
Sakleshpur,Mangalore
Hassan,Mysore
Hassan,Chikmagalur
Hassan,Sakleshpur
Hassan,Belur
Hassan,Halebidu
Belur,Hassan
Belur,Halebidu
Belur,Chikmagalur
Halebidu,Hassan
Halebidu,Belur
Halebidu,Chikmagalur
Kabini,Mysore
Kabini,Coorg
Kabini,Bandipur
Kabini,Bengaluru
Bandipur,Mysore
Bandipur,Ooty
Bandipur,Wayanad
Bandipur,Kabini
Murudeshwar,Gokarna
Murudeshwar,Karwar
Murudeshwar,Udupi
Murudeshwar,Mangalore
Udupi,Murudeshwar
Udupi,Mangalore
Udupi,Gokarna
Mangalore,Udupi
Mangalore,Gokarna
Mangalore,Murudeshwar
Mangalore,Kozhikode
Mangalore,Madikeri
Karwar,Goa
Karwar,Gokarna
Karwar,Murudeshwar
Karwar,Dandeli
Dandeli,Karwar
Dandeli,Goa
Dandeli,Gokarna
Bijapur,Badami
Bijapur,Hubli
Munnar,Kochi
Munnar,Thekkady
Munnar,Alleppey
Munnar,Kodaikanal
Munnar,Kumarakom
Thekkady,Kochi
Thekkady,Munnar
Thekkady,Alleppey
Thekkady,Kumarakom
Thekkady,Madurai
Alleppey,Kochi
Alleppey,Kumarakom
Alleppey,Varkala
Alleppey,Thekkady
Kumarakom,Kochi
Kumarakom,Alleppey
Kumarakom,Thekkady
Varkala,Kochi
Varkala,Alleppey
Varkala,Trivandrum
Varkala,Kollam
Kovalam,Trivandrum
Kovalam,Varkala
Kovalam,Kanyakumari
Kozhikode,Kochi
Kozhikode,Wayanad
Kozhikode,Mangalore
Kozhikode,Mysore
Wayanad,Kozhikode
Wayanad,Mysore
Wayanad,Ooty
Wayanad,Coorg
Wayanad,Bandipur
Kollam,Alleppey
Kollam,Varkala
Kollam,Kochi
Kollam,Trivandrum
Ponmudi,Trivandrum
Ponmudi,Kovalam
Ponmudi,Varkala
Yercaud,Chennai
Yercaud,Salem
Yercaud,Bengaluru
Kotagiri,Ooty
Kotagiri,Coonoor
Coonoor,Ooty
Coonoor,Coimbatore
Valparai,Coimbatore
Pollachi,Coimbatore
Pollachi,Valparai
Pollachi,Palani
Palani,Kodaikanal
Palani,Coimbatore
Palani,Madurai
Kumbakonam,Thanjavur
Kumbakonam,Tiruchirappalli
Kumbakonam,Chidambaram
Thanjavur,Tiruchirappalli
Thanjavur,Kumbakonam
Thanjavur,Chidambaram
Chidambaram,Pondicherry
Chidambaram,Thanjavur
Chidambaram,Kumbakonam
Tiruvannamalai,Pondicherry
